identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;1.;[153, 252, 35, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;1;1;1;2;REGLES;[229, 250, 200, 38];38;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;1;1;1;3;ET;[449, 251, 59, 36];36;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;1;1;1;4;METHODES;[526, 250, 278, 38];38;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;1;1;1;5;COMPTABLES;[822, 250, 345, 38];38;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;1; ;[144, 300, 2193, 8];8;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;1;Les;[154, 399, 68, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;2;comptes;[236, 402, 170, 41];41;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;3;annuels;[420, 399, 156, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;4;ont;[590, 402, 61, 32];32;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;5;été;[664, 399, 60, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;6;établis;[738, 399, 129, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;7;suivant;[880, 399, 143, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;8;les;[1037, 399, 54, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;9;principes;[1106, 399, 178, 44];44;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;10;généraux;[1298, 399, 189, 44];44;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;11;édités;[1500, 399, 119, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;12;par;[1633, 408, 63, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;13;le;[1710, 399, 31, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;14;Plan;[1757, 399, 85, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;15;Comptable;[1857, 399, 217, 44];44;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;16;(notamment;[2090, 399, 240, 44];44;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;1;les;[153, 452, 53, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;2;règlements;[227, 452, 222, 44];44;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;3;ANC;[467, 452, 93, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;4;n°2016-07;[581, 453, 207, 34];34;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;5;du;[806, 452, 47, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;6;04;[873, 453, 48, 34];34;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;7;novembre;[941, 452, 198, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;8;2016,;[1158, 453, 109, 40];40;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;9;modifiant;[1289, 452, 183, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;10;le;[1491, 452, 30, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;11;règlement;[1541, 452, 201, 44];44;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;12;n°2014-03;[1761, 453, 207, 34];34;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;13;relatif;[1988, 452, 108, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;14;au;[2114, 461, 45, 26];26;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;15;PCG;[2182, 452, 92, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;16;et;[2295, 455, 35, 32];32;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;1;homologué;[153, 504, 222, 44];44;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;2;par;[398, 513, 64, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;3;arrêté;[483, 504, 116, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;4;le;[623, 504, 30, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;5;26;[675, 505, 48, 34];34;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;6;décembre;[745, 504, 201, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;7;2016;[968, 505, 99, 34];34;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;8;et;[1090, 507, 35, 32];32;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;9;ANC;[1145, 504, 94, 35];35;text;Page_9;03_ARDIAN - Comptes sociaux 2019
0;3;1;3;10;n°2018-01;[1263, 505, 200, 34];34;text;Page_9;03_ARDIAN - Comptes sociaux 2019
