0;1;2;3;4
<ian > lan;0;0;0;0
Créditeurs divers 756 908 756 908;0;0;0;0
Prêts sur titres de participation 1 104 131 0 1104131;0;0;0;0
Charges constatées d'avance 3 000 3 000;0;0;0;0
Fa;0;0;cp;p2
Nature;0;0;0;0
TOTAL;0;0;0;0
Intérêts courus;0;0;0;0
