identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;PAL;[1540, 357, 266, 38];38;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;1;1;2;CTI;[1857, 357, 86, 41];41;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;1;1;GT;[1578, 418, 25, 16];16;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;1;2;d'affaires;[1689, 410, 134, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;1;3;Propres;[1863, 410, 113, 28];28;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;2;1;Kdevise_K;[1539, 453, 118, 23];23;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;2;2;devise;[1698, 450, 122, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;2;3;K;[1860, 449, 16, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;2;4;dievisa;[1887, 449, 93, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;1;AXA;[226, 513, 59, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;2;IM;[294, 513, 30, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;3;SEC.;[336, 513, 63, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;4;ASSOCIATES;[406, 512, 183, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;5;MANAGEMENT;[598, 510, 203, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;6;0;[1055, 509, 16, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;7;100,00%;[1100, 507, 112, 30];30;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;3;8;31-déc.-16;[2064, 502, 140, 27];27;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;1;AXA;[226, 560, 59, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;2;PE;[295, 560, 36, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;3;FÜNDS;[337, 558, 87, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;4;OF;[433, 558, 38, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;5;FUNDS;[480, 558, 88, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;6;MANAGER;[577, 557, 146, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;7;ll;[729, 557, 13, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;8;36075;[983, 555, 88, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;9;100,00%;[1100, 552, 112, 30];30;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;4;10;31-déc.-18;[2064, 548, 140, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;5;1;AXA;[226, 605, 59, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;5;2;PE;[295, 605, 34, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;5;3;SL;[336, 605, 37, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;5;4;MANAGEMENT;[381, 603, 204, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;5;5;32715;[984, 600, 87, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;5;6;100,00%;[1100, 599, 112, 30];30;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;5;7;31-déc.-18;[2064, 593, 140, 27];27;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;6;1;AXA;[226, 651, 59, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;6;2;PE;[295, 650, 36, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;6;3;SECONDARIES;[336, 648, 195, 27];27;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;6;4;41763;[984, 647, 87, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;6;5;100,00%;[1100, 645, 112, 29];29;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;6;6;31-déc.-16;[2066, 638, 139, 27];27;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;7;1;AXA;[226, 696, 59, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;7;2;LEO;[295, 696, 57, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;7;3;MANAGEMENT;[361, 695, 203, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;7;4;Ill;[573, 695, 22, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;7;5;95786;[984, 692, 87, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;7;6;100,00%;[1100, 690, 112, 30];30;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;8;1;AXA;[226, 743, 59, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;8;2;CO-INVESTMENT;[295, 741, 231, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;8;3;|};[535, 740, 15, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;8;4;10000;[986, 738, 85, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;8;5;100,00%;[1101, 735, 111, 30];30;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;9;1;AXA;[226, 788, 59, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;9;2;PEASIA;[297, 788, 108, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;9;3;MANAGER;[414, 786, 145, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;9;4;36380;[984, 783, 87, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;9;5;100,00%;[1101, 782, 111, 28];28;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;10;1;AXA;[226, 834, 60, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;10;2;PE;[297, 834, 36, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;10;3;PRIMARY;[339, 833, 127, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;10;4;36550;[984, 830, 87, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;10;5;100,00%;[1101, 827, 113, 30];30;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;11;1;AXA;[228, 881, 58, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;11;2;ALTERNATIVE;[295, 878, 198, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;11;3;FINANCING;[501, 878, 148, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;11;4;MANAGEMENT;[658, 876, 205, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;11;5;125000;[971, 875, 102, 25];25;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;11;6;100,00%;[1103, 873, 111, 29];29;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;12;1;AXA;[228, 926, 57, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;12;2;PRIVATECAPITAL;[297, 923, 255, 27];27;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;12;3;37256;[986, 921, 87, 26];26;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;12;4;100,00%;[1103, 918, 111, 30];30;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;12;5;31-16c.-16;[2067, 914, 140, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
0;1;2;13;1;AXA;[228, 972, 58, 24];24;text;Page_16;01_ARDIAN - Comptes sociaux 2017
