identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;ARDIAN;[370, 299, 141, 27];27;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;1;Rapport;[370, 350, 135, 32];32;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;2;du;[513, 347, 40, 29];29;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;3;commissate;[562, 347, 209, 29];29;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;4;aux;[778, 356, 62, 20];20;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;5;comptes;[846, 353, 130, 29];29;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;6;sur;[984, 356, 57, 20];20;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;7;les;[1047, 349, 42, 27];27;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;8;comptes;[1098, 353, 132, 29];29;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;9;annucls;[1238, 349, 127, 27];27;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;1;Exercice;[370, 395, 135, 29];29;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;2;clos;[513, 395, 64, 27];27;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;3;Le;[585, 395, 27, 27];27;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;4;31;[618, 403, 34, 25];25;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;5;décembre;[661, 395, 164, 29];29;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;6;2017;[831, 403, 79, 27];27;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;7;-;[910, 391, 8, 43];43;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;8;Page;[933, 398, 76, 32];32;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;9;3;[1017, 403, 19, 25];25;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;1;résulter;[369, 547, 135, 33];33;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;2;d'erreurs;[531, 545, 157, 35];35;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;3;et;[717, 553, 34, 27];27;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;4;sont;[777, 553, 79, 28];28;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;5;considérées;[880, 547, 203, 34];34;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;6;comme;[1113, 557, 126, 24];24;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;7;significatives;[1266, 547, 228, 42];42;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;8;lorsque;[1521, 548, 132, 41];41;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;9;l’on;[1680, 547, 65, 34];34;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;10;peut;[1772, 553, 79, 36];36;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;11;raisonnablement;[1878, 547, 299, 34];34;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;1;s'attendre;[367, 593, 174, 33];33;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;2;à;[564, 592, 19, 33];33;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;3;ce;[607, 604, 35, 22];22;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;4;qu'elles;[667, 593, 131, 42];42;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;5;puissent,;[820, 593, 156, 41];41;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;6;prises;[1002, 593, 102, 41];41;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;7;individuellement;[1128, 592, 299, 34];34;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;8;ou;[1449, 604, 42, 22];22;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;9;en;[1517, 604, 40, 22];22;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;10;cumulé,;[1581, 593, 138, 41];41;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;11;influencer;[1742, 593, 180, 33];33;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;12;les;[1943, 593, 48, 33];33;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;13;décisions;[2013, 593, 162, 35];35;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;1;économiques;[369, 638, 229, 41];41;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;2;que;[610, 649, 62, 31];31;text;Page_27;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;3;les;[681, 637, 49, 34];34;text;Page_27;01_ARDIAN - Comptes sociaux 2017
