identifier;left;right;up;down
3;;;4;
3;;10;;
4;;;;3
4;;;5;
4;;11;;
5;;;;4
5;;;6;
5;;12;;
6;;;;5
6;;;7;
6;;13;;
7;;;;6
7;;;8;
7;;14;;
8;;;;7
8;;;9;
8;;15;;
9;;;;8
9;;16;;
10;3;;;
10;;;11;
10;;17;;
11;4;;;
11;;;;10
11;;;12;
11;;18;;
12;5;;;
12;;;;11
12;;;13;
12;;19;;
13;6;;;
13;;;;12
13;;;14;
13;;20;;
14;7;;;
14;;;;13
14;;;15;
14;;21;;
15;8;;;
15;;;;14
15;;;16;
15;;22;;
16;9;;;
16;;;;15
16;;23;;
17;10;;;
17;;;18;
17;;24;;
18;11;;;
18;;;;17
18;;;19;
18;;25;;
19;12;;;
19;;;;18
19;;;20;
19;;26;;
20;13;;;
20;;;;19
20;;;21;
20;;27;;
21;14;;;
21;;;;20
21;;;22;
21;;28;;
22;15;;;
22;;;;21
22;;;23;
22;;29;;
23;16;;;
23;;;;22
23;;30;;
24;17;;;
24;;;25;
24;;31;;
25;18;;;
25;;;;24
25;;;26;
25;;32;;
26;19;;;
26;;;;25
26;;;27;
26;;33;;
27;20;;;
27;;;;26
27;;;28;
27;;34;;
28;21;;;
28;;;;27
28;;;29;
28;;35;;
29;22;;;
29;;;;28
29;;;30;
29;;36;;
30;23;;;
30;;;;29
30;;37;;
31;24;;;
31;;;32;
32;25;;;
32;;;;31
32;;;33;
33;26;;;
33;;;;32
33;;;34;
34;27;;;
34;;;;33
34;;;35;
35;28;;;
35;;;;34
35;;;36;
36;29;;;
36;;;;35
36;;;37;
37;30;;;
37;;;;36
