identifier;left;right;up;down
3;;;4;
3;;;;7
3;;15;;
4;;;;3
4;;14;;
5;;;6;
5;;;;9
5;;17;;
6;;;;5
6;;;7;
6;;18;;
7;;;3;
7;;;;6
7;;19;;
8;;;9;
8;;;;10
8;;21;;
9;;;5;
9;;;;8
9;;16;;
10;;;8;
10;;;;11
10;;20;;
11;;;10;
11;;;;13
11;;23;;
12;;;13;
12;;24;;
13;;;11;
13;;;;12
13;;22;;
14;4;;;
14;;;;15
14;;25;;
15;3;;;
15;;;14;
15;;;;19
15;;26;;
16;9;;;
16;;;17;
16;;;;21
16;;30;;
17;5;;;
17;;;;16
17;;;18;
17;;31;;
18;6;;;
18;;;;17
18;;;19;
18;;27;;
19;7;;;
19;;;15;
19;;;;18
19;;28;;
20;10;;;
20;;;21;
20;;;;23
20;;32;;
21;8;;;
21;;;16;
21;;;;20
21;;29;;
22;13;;;
22;;;23;
22;;;;24
22;;35;;
23;11;;;
23;;;20;
23;;;;22
23;;33;;
24;12;;;
24;;;22;
24;;34;;
25;14;;;
25;;;;26
26;15;;;
26;;;25;
26;;;;28
27;18;;;
27;;;28;
27;;;;31
28;19;;;
28;;;26;
28;;;;27
29;21;;;
29;;;30;
29;;;;32
30;16;;;
30;;;;29
30;;;31;
31;17;;;
31;;;27;
31;;;;30
32;20;;;
32;;;29;
32;;;;33
33;23;;;
33;;;32;
33;;;;35
34;24;;;
34;;;35;
35;22;;;
35;;;33;
35;;;;34
