identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;ARDIAN;[355, 228, 143, 24];24;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;1;Rapport;[354, 279, 138, 29];29;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;2;du;[503, 278, 39, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;3;commissaire;[555, 278, 212, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;4;aux;[779, 285, 60, 16];16;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;5;comptes;[849, 281, 135, 27];27;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;6;sur;[997, 285, 52, 16];16;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;7;les;[1061, 278, 41, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;8;comptes;[1115, 281, 134, 27];27;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;2;9;annuels;[1262, 278, 129, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;1;Exercice;[354, 328, 138, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;2;clos;[504, 328, 60, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;3;le;[578, 328, 24, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;4;31;[614, 328, 35, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;5;décembre;[659, 328, 164, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;6;2019;[836, 328, 77, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;7;-;[927, 341, 9, 5];5;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;8;Page;[947, 328, 75, 30];30;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;1;1;3;9;3;[1034, 328, 15, 23];23;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;1;que;[353, 495, 63, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;2;celles-ci;[430, 486, 145, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;3;proviennent;[587, 486, 221, 37];37;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;4;de;[822, 486, 41, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;5;fraudes;[877, 486, 133, 29];29;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;6;ou;[1024, 495, 41, 19];19;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;7;résultent;[1080, 486, 161, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;8;d'erreurs.;[1256, 486, 173, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;1;Lors;[355, 581, 78, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;2;de;[457, 581, 40, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;3;l'établissement;[520, 581, 272, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;4;des;[815, 581, 58, 28];28;text;Page_21;03_ARDIAN - Comptes sociaux 2019
