identifier;left;right;up;down
3;;;4;
3;;;;8
3;;18;;
3;;22;;
4;;;;3
4;;;5;
4;;18;;
4;;19;;
5;;;;4
5;;;9;
5;;19;;
5;;20;;
6;;;;9
6;;;10;
6;;15;;
6;;21;;
7;;;8;
7;;;;12
7;;17;;
7;;23;;
8;;;3;
8;;;;7
8;;17;;
8;;22;;
9;;;;5
9;;;6;
9;;20;;
9;;21;;
10;;;;6
10;;15;;
10;;16;;
11;;;12;
11;;;;13
11;;24;;
11;;25;;
12;;;7;
12;;;;11
12;;23;;
12;;25;;
13;;;11;
13;;24;;
15;6;;;
15;;;16;
15;;;;21
15;;26;;
16;10;;;
16;;;;15
16;;27;;
17;7;;;
17;;;22;
17;;;;23
17;;31;;
18;3;;;
18;;;19;
18;;;;22
18;;33;;
19;4;;;
19;;;;18
19;;;20;
19;;28;;
20;5;;;
20;;;;19
20;;;21;
20;;29;;
21;9;;;
21;;;15;
21;;;;20
21;;30;;
22;8;;;
22;;;;17
22;;;18;
22;;32;;
23;12;;;
23;;;17;
23;;;;25
23;;36;;
24;13;;;
24;;;25;
24;;35;;
25;11;;;
25;;;23;
25;;;;24
25;;34;;
26;15;;;
26;;;27;
26;;;;30
27;16;;;
27;;;;26
28;19;;;
28;;;29;
28;;;;33
29;20;;;
29;;;;28
29;;;30;
30;21;;;
30;;;26;
30;;;;29
31;17;;;
31;;;32;
31;;;;36
32;22;;;
32;;;;31
32;;;33;
33;18;;;
33;;;28;
33;;;;32
34;25;;;
34;;;;35
34;;;36;
35;24;;;
35;;;34;
36;23;;;
36;;;31;
36;;;;34
