identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1; ;[112, 292, 2162, 33];33;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;2;1;1;1; ;[119, 300, 2158, 33];33;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;1;ARDIAN;[127, 334, 202, 65];65;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;2;31/12/2018;[1952, 314, 309, 54];54;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;1;BILAN;[1024, 433, 172, 45];45;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;2;ACTIF;[1213, 431, 156, 45];45;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;1;Capital;[135, 681, 105, 39];39;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;2;souscrit;[252, 685, 108, 26];26;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;3;non;[370, 691, 51, 19];19;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;4;appelé;[433, 678, 103, 39];39;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;1;IMMOBILISATIONS;[136, 748, 343, 32];32;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;2;INCORPORELLES;[485, 746, 296, 30];30;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;1;2;1;Frais;[136, 797, 66, 28];28;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;1;2;2;d'établissement;[213, 792, 223, 32];32;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;1;1;Frais;[136, 842, 67, 27];27;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;1;2;de;[213, 838, 37, 30];30;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;1;3;recherche;[261, 836, 143, 32];32;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;1;4;et;[416, 842, 26, 24];24;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;1;5;développement;[451, 835, 230, 37];37;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;2;1;Concessions,;[135, 885, 189, 34];34;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;2;2;brevets;[337, 882, 102, 31];31;text;Page_4;02_ARDIAN - Comptes sociaux 2018
0;5;2;2;3;et;[450, 886, 26, 25];25;text;Page_4;02_ARDIAN - Comptes sociaux 2018
