identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;9,;[220, 359, 33, 35];35;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;1;1;1;2;PRODUITS;[289, 356, 228, 38];38;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;1;1;1;3;À;[532, 359, 33, 35];35;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;1;1;1;4;RECEVOIR;[582, 356, 237, 38];38;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;1;Impôts;[244, 540, 120, 40];40;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;2;et;[378, 542, 33, 28];28;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;3;taxes;[420, 542, 96, 28];28;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;4;-;[529, 555, 12, 8];8;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;5;CVAE;[553, 540, 105, 30];30;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;6;63;[1331, 539, 40, 31];31;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;7;771;[1383, 539, 59, 31];31;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;1;intérêts;[244, 590, 132, 32];32;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;2;courus;[390, 598, 123, 22];22;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;3;104;[1313, 587, 58, 33];33;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;2;4;732;[1385, 589, 63, 31];31;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;1;TOTAL;[243, 641, 124, 29];29;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;2;DES;[381, 641, 72, 28];28;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;3;PRODUITS;[469, 641, 194, 28];28;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;4;À;[676, 641, 26, 28];28;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;5;RECEVOIR;[717, 641, 194, 28];28;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;6;168;[1313, 640, 58, 27];27;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;2;1;3;7;503;[1386, 640, 60, 27];27;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;3;1;1;1;  ;[222, 474, 14, 126];126;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;3;1;1;2; ;[513, 636, 147, 2];2;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;3;1;1;3;    ;[1456, 474, 13, 164];164;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;4;1;1;1; ;[222, 600, 22, 38];38;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;4;1;2;1;   ;[222, 638, 1247, 48];48;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;5;1;1;1; ;[513, 600, 147, 36];36;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;6;1;1;1;10.CHARGES;[220, 847, 290, 37];37;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;6;1;1;2;A;[526, 847, 32, 35];35;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;6;1;1;3;PAYER;[575, 847, 154, 37];37;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;1;1;Fournisseurs,;[246, 1031, 244, 36];36;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;1;2;factures;[504, 1031, 147, 30];30;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;1;3;non;[665, 1039, 67, 22];22;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;1;4;parvenues;[747, 1037, 187, 32];32;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;1;5;7;[1353, 1029, 20, 30];30;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;1;6;200;[1385, 1029, 63, 30];30;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;2;1;Autres;[243, 1081, 117, 30];30;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;2;2;dettes;[373, 1079, 110, 32];32;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;2;3;:;[496, 1087, 9, 22];22;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;2;4;Intégration;[520, 1079, 196, 39];39;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;2;5;fiscele;[728, 1079, 117, 30];30;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;2;6;5;[1279, 1079, 20, 30];30;text;Page_18;01_ARDIAN - Comptes sociaux 2017
0;7;1;2;7;521;[1312, 1079, 56, 32];32;text;Page_18;01_ARDIAN - Comptes sociaux 2017
