identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;ARDIAN;[369, 307, 141, 26];26;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;1;Rapnort;[369, 357, 135, 32];32;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;2;du;[511, 354, 42, 27];27;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;3;commissaire;[561, 354, 207, 29];29;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;4;aux;[775, 363, 62, 20];20;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;5;comptes;[843, 360, 132, 29];29;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;6;sur;[981, 363, 57, 20];20;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;7;les;[1045, 356, 42, 27];27;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;8;contptes;[1095, 360, 134, 29];29;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;9;annucls;[1236, 354, 126, 29];29;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;1;Exercice;[369, 402, 136, 29];29;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;2;clos;[511, 402, 65, 27];27;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;3;le;[583, 402, 27, 27];27;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;4;91;[615, 410, 34, 25];25;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;5;décembre;[660, 402, 162, 29];29;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;6;2017-Page3;[828, 405, 205, 32];32;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;1;résulter;[369, 554, 133, 33];33;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;2;d'erreurs;[529, 554, 158, 33];33;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;3;et;[715, 560, 33, 27];27;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;4;sont;[774, 560, 78, 27];27;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;5;coosidérées;[877, 554, 204, 34];34;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;6;comme;[1110, 564, 128, 24];24;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;7;significatives;[1265, 554, 226, 42];42;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;8;lorsque;[1520, 554, 129, 42];42;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;9;l’on;[1676, 555, 67, 33];33;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;10;peut;[1769, 560, 81, 36];36;text;Page_7;01_ARDIAN - Comptes sociaux 2017
0;2;1;1;11;raisonnablement;[1877, 554, 299, 34];34;text;Page_7;01_ARDIAN - Comptes sociaux 2017
