identifier;left;right;up;down
1;;2;;
2;1;;;
2;;4;;
4;2;;;
4;;6;;
6;4;;;
6;;7;;
7;6;;;
7;;8;;
8;7;;;
9;;11;;
11;9;;;
12;;13;;
13;12;;;
14;;15;;
15;14;;;
17;;20;;
19;;21;;
20;17;;;
21;19;;;
21;;28;;
22;;35;;
23;;29;;
25;;27;;
27;25;;;
28;21;;;
28;;31;;
29;23;;;
29;;34;;
30;;32;;
31;28;;;
31;;33;;
32;30;;;
32;;36;;
33;31;;;
33;;37;;
34;29;;;
35;22;;;
36;32;;;
36;;39;;
37;33;;;
38;;42;;
39;36;;;
39;;43;;
40;;;41;
41;;;;40
42;38;;;
42;;45;;
43;39;;;
45;42;;;
45;;48;;
47;46;;;
48;45;;;
48;;49;;
49;48;;;
49;;51;;
51;49;;;
51;;52;;
52;51;;;
52;;53;;
53;52;;;
