identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;DEPOT;[689, 75, 165, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;1;1;1;2;DES;[877, 75, 98, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;1;1;1;3;COMPTES;[998, 75, 238, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;1;1;1;4;ANNUELS;[1257, 75, 236, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;1;DATE;[149, 324, 125, 36];36;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;2;DEPOT;[300, 323, 165, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;3;:;[491, 333, 7, 27];27;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;4;20-05-2020;[528, 323, 295, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;1;N°;[149, 447, 55, 37];37;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;2;DE;[231, 448, 63, 36];36;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;3;DEPOT;[320, 447, 165, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;4;:;[511, 457, 7, 27];27;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;5;023349;[547, 447, 186, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;1;N°;[149, 571, 55, 37];37;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;2;GESTION;[229, 571, 226, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;3;:;[485, 581, 6, 27];27;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;4;1995B15594;[525, 571, 313, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;1;N°;[149, 695, 55, 37];37;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;2;SIREN;[229, 695, 152, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;3;:;[411, 705, 7, 27];27;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;4;4003081714;[446, 695, 284, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;6;1;1;1;DENOMINATION;[149, 819, 397, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;6;1;1;2;:;[577, 829, 6, 27];27;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;6;1;1;3;ARDIAN;[610, 820, 195, 36];36;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;1;ADRESSE;[145, 943, 235, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;2;:;[409, 953, 6, 27];27;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;3;20;[446, 943, 57, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;4;PL;[529, 944, 53, 36];36;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;5;VENDOME;[601, 943, 251, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;6;75001;[877, 943, 151, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;7;PARIS;[1056, 943, 146, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;1;MILLESIME;[149, 1067, 272, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;2;:;[450, 1077, 6, 27];27;text;Page_2;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;3;2019;[487, 1067, 121, 38];38;text;Page_2;03_ARDIAN - Comptes sociaux 2019
