identifier;left;right;up;down
2;;;3;
2;;6;;
3;;;;2
3;;7;;
4;;5;;
5;4;;;
6;2;;;
6;;;7;
6;;10;;
7;3;;;
7;;;;6
7;;;8;
7;;9;;
8;;;;7
8;;;;9
9;7;;;
9;;;8;
9;;;;10
10;6;;;
10;;;9;
