identifier;left;right;up;down
3;;;4;
3;;5;;
4;;;;3
4;;;;5
4;;;;7
4;;;;8
4;;9;;
4;;10;;
5;3;;;
5;;;4;
5;;7;;
7;;;4;
7;5;;;
7;;8;;
8;;;4;
8;7;;;
8;;9;;
9;8;;;
9;;;10;
9;;12;;
10;4;;;
10;;;;9
10;;;11;
10;;13;;
11;;;;10
11;;;;13
12;9;;;
12;;;13;
13;10;;;
13;;;11;
13;;;;12
