identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;CONFIDENTIEL;[1839, 216, 291, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;2;1;1;1;ARDIAN;[1101, 340, 245, 50];50;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;1;Société;[690, 409, 136, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;2;par;[837, 417, 66, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;3;actions;[913, 410, 131, 31];31;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;4;simplifiée;[1057, 409, 173, 40];40;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;5;au;[1243, 417, 45, 24];24;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;6;capital;[1302, 409, 121, 40];40;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;7;de;[1435, 410, 43, 31];31;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;8;183;[1497, 409, 63, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;9;132;[1577, 409, 64, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;10;Euros;[1655, 409, 107, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;1;Siège;[806, 456, 100, 40];40;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;2;social;[918, 456, 104, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;3;:;[1033, 464, 8, 24];24;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;4;20,;[1055, 456, 50, 37];37;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;5;place;[1119, 456, 97, 40];40;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;6;Vendôme;[1231, 456, 167, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;7;-;[1409, 473, 14, 6];6;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;8;75001;[1436, 456, 104, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;2;9;Paris;[1555, 456, 91, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;3;1;403;[986, 502, 66, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;3;2;081;[1065, 502, 61, 32];32;text;Page_16;02_ARDIAN - Comptes sociaux 2018
0;3;1;3;3;714;[1144, 503, 63, 31];31;text;Page_16;02_ARDIAN - Comptes sociaux 2018
