identifier;left;right;up;down
3;;;4;
3;;14;;
4;;;;3
4;;;5;
4;;15;;
5;;;;4
5;;;6;
5;;16;;
6;;;;5
6;;;7;
6;;17;;
7;;;;6
7;;;8;
7;;18;;
8;;;;7
8;;;9;
8;;19;;
9;;;;8
9;;;10;
9;;20;;
10;;;;9
10;;;11;
10;;21;;
11;;;;10
11;;;12;
11;;22;;
12;;;;11
12;;;13;
12;;23;;
13;;;;12
13;;24;;
14;3;;;
14;;;15;
14;;25;;
15;4;;;
15;;;;14
15;;;16;
15;;26;;
16;5;;;
16;;;;15
16;;;17;
16;;27;;
17;6;;;
17;;;;16
17;;;18;
17;;28;;
18;7;;;
18;;;;17
18;;;19;
18;;29;;
19;8;;;
19;;;;18
19;;;20;
19;;30;;
20;9;;;
20;;;;19
20;;;21;
20;;31;;
21;10;;;
21;;;;20
21;;;22;
21;;32;;
22;11;;;
22;;;;21
22;;;23;
22;;33;;
23;12;;;
23;;;;22
23;;;24;
23;;34;;
24;13;;;
24;;;;23
24;;35;;
25;14;;;
25;;;26;
26;15;;;
26;;;;25
26;;;27;
27;16;;;
27;;;;26
27;;;28;
28;17;;;
28;;;;27
28;;;29;
29;18;;;
29;;;;28
29;;;30;
30;19;;;
30;;;;29
30;;;31;
31;20;;;
31;;;;30
31;;;32;
32;21;;;
32;;;;31
32;;;33;
33;22;;;
33;;;;32
33;;;34;
34;23;;;
34;;;;33
34;;;35;
35;24;;;
35;;;;34
