0;1;2;3;4;5
[NF];0;0;0;0;0
BILAN;0;0;0;0;0
Montant;0;0;0;0;nonlibéré
souscrit en;0;0;0;0;au
devises;0;0;0;0;31/12/2018
Nombre de Catégorie des;0;0;0;0;0
Entités parts parts;0;0;0;0;au
AIMPE & Management;0;0;0;0;0
FRR CI France;468;PartsordinairesB;63704€;45000€;45000€
ERAFP;100;PartsordinairesB;100000€;80000€;80000€
ARDIAN LBO VI;107504;PartsordinairesB;10750400€;3102538€;3102538€
ARDIAN EXPANSION IV B;23176;PartsordinairesB;2317600€;869259€;869259€
ARDIAN CO IV NORTH AMERICA;4731;PartsordinairesB;473100$;69172$;60412€
ARDIAN CO IV EUROPE;2969;PartsordinairesB;296900€;35729€;35729€
CO IV PARTS B;5744;PartsordinairesB;574400€;120813€;120813€
CO IV B PARTS B;460;PartsordinairesB;46000€;9435€;9435€
ARDIAN EXPANSION lil;14990;PartsordinairesB;1499000€;107359€;107359€
ARDIAN EXPANSION Ill ITALIA PAR;699;PartsordinairesB;69900€;8367€;8367€
LBO V;48900;PartsordinairesB;4890000€;206348€;206348€
LBO V Supp;12229;PartsordinairesB;1222900€;128155€;128155€
ARDIAN CLEAN ENERGY FUND Il;3003;PartsordinairesB;300300€;0€;0€
ARDIAN GROWTH II;1883;PartsordinairesB;188300€;161368€;161368€
ARDIAN REAL ESTATE EUROPEAN;0;0;171€;0;179€
FUND;0;0;0;0;0
