identifier;left;right;up;down
2;;;;4
2;;;5;
2;;9;;
3;;;4;
3;;;;7
3;;11;;
4;;;2;
4;;;;3
4;;12;;
5;;;;2
5;;10;;
6;;;7;
6;;;;8
6;;13;;
7;;;3;
7;;;;6
7;;14;;
8;;;6;
8;;15;;
9;2;;;
9;;;10;
9;;;;12
9;;16;;
10;5;;;
10;;;;9
10;;17;;
11;3;;;
11;;;12;
11;;;;14
11;;19;;
12;4;;;
12;;;9;
12;;;;11
12;;18;;
13;6;;;
13;;;14;
13;;;;15
13;;22;;
14;7;;;
14;;;11;
14;;;;13
14;;20;;
15;8;;;
15;;;13;
15;;21;;
16;9;;;
16;;;17;
16;;;;18
16;;23;;
17;10;;;
17;;;;16
17;;24;;
18;12;;;
18;;;16;
18;;;;19
18;;26;;
19;11;;;
19;;;18;
19;;;;20
19;;25;;
20;14;;;
20;;;19;
20;;;;22
20;;28;;
21;15;;;
21;;;22;
21;;29;;
22;13;;;
22;;;20;
22;;;;21
22;;27;;
23;16;;;
23;;;24;
23;;;;26
23;;30;;
24;17;;;
24;;;;23
24;;31;;
25;19;;;
25;;;26;
25;;;;28
25;;32;;
26;18;;;
26;;;23;
26;;;;25
26;;33;;
27;22;;;
27;;;28;
27;;;;29
27;;35;;
28;20;;;
28;;;25;
28;;;;27
28;;36;;
29;21;;;
29;;;27;
29;;34;;
30;23;;;
30;;;31;
30;;;;33
31;24;;;
31;;;;30
32;25;;;
32;;;33;
32;;;;36
33;26;;;
33;;;30;
33;;;;32
34;29;;;
34;;;35;
35;27;;;
35;;;;34
35;;;36;
36;28;;;
36;;;32;
36;;;;35
