identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;=;[356, 258, 175, 107];107;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;1;pwc;[213, 400, 238, 90];90;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;1;Rapport;[356, 831, 191, 41];41;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;2;du;[563, 831, 54, 32];32;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;3;commissaire;[636, 830, 295, 33];33;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;4;aux;[951, 840, 80, 23];23;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;5;comptes;[1048, 833, 190, 39];39;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;1;sur;[355, 892, 74, 23];23;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;2;les;[445, 883, 58, 32];32;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;3;comptes;[523, 885, 190, 39];39;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;4;annuels;[732, 883, 180, 32];32;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;1;(Exercice;[357, 981, 212, 39];39;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;2;clos;[589, 982, 85, 32];32;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;3;le;[693, 982, 34, 32];32;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;4;31;[747, 981, 48, 33];33;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;5;décembre;[810, 980, 225, 34];34;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;6;20;[1054, 981, 50, 33];33;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;7;19);[1117, 981, 63, 39];39;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;1;Aux;[355, 1184, 71, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;2;Associés;[438, 1184, 151, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;1;2;1;ARDIAN;[355, 1233, 178, 30];30;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;2;1;1;20;[356, 1284, 41, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;2;1;2;Place;[414, 1284, 94, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;2;1;3;Vendôme;[522, 1284, 171, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;2;2;1;75001;[355, 1334, 109, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;5;2;2;2;PARIS;[477, 1334, 118, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;6;1;1;1;Opinion;[356, 1428, 167, 38];38;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;1;En;[355, 1524, 46, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;2;exécution;[421, 1524, 172, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;3;de;[613, 1524, 41, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;4;la;[671, 1524, 29, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;5;mission;[719, 1524, 138, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;6;qui;[877, 1524, 57, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;7;nous;[951, 1533, 84, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;8;a;[1055, 1533, 16, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;9;été;[1090, 1524, 51, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;10;confiée;[1158, 1524, 129, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;11;par;[1304, 1533, 59, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;12;votre;[1381, 1528, 91, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;13;assemblée;[1491, 1524, 185, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;14;générale,;[1694, 1524, 163, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;15;nous;[1876, 1533, 85, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;16;avons;[1980, 1533, 101, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;1;17;effectué;[2100, 1524, 141, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;1;l'audit;[355, 1571, 113, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;2;des;[487, 1571, 57, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;3;comptes;[563, 1575, 150, 33];33;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;4;annuels;[733, 1571, 139, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;5;de;[891, 1571, 41, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;6;la;[950, 1571, 29, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;7;société;[998, 1571, 122, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;8;ARDIAN;[1138, 1571, 161, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;9;relatifs;[1317, 1571, 125, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;10;à;[1461, 1571, 17, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;11;l’exercice;[1496, 1571, 167, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;12;clos;[1681, 1571, 67, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;13;le;[1767, 1571, 28, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;14;31;[1815, 1571, 37, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;15;décembre;[1870, 1571, 176, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;16;2019,;[2065, 1571, 97, 34];34;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;2;17;tels;[2181, 1571, 60, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;1;qu'ils;[356, 1618, 93, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;2;sont;[468, 1622, 74, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;3;joints;[555, 1618, 102, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;4;au;[675, 1627, 39, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;5;présent;[731, 1618, 135, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;6;rapport.;[882, 1623, 146, 32];32;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;7;Ces;[1045, 1618, 60, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;8;comptes;[1122, 1623, 150, 32];32;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;9;ont;[1289, 1622, 57, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;10;été;[1363, 1618, 51, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;11;arrêtés;[1430, 1618, 123, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;12;par;[1569, 1627, 58, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;13;le;[1644, 1618, 28, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;14;président;[1688, 1618, 170, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;15;le;[1875, 1618, 29, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;16;17;[1924, 1618, 32, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;17;mars;[1971, 1627, 88, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;18;2020;[2077, 1618, 90, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;7;1;3;19;sur;[2187, 1627, 54, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;1;la;[355, 1666, 30, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;2;base;[399, 1666, 79, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;3;des;[493, 1666, 58, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;4;éléments;[567, 1666, 161, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;5;disponibles;[745, 1666, 205, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;6;à;[967, 1666, 16, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;7;cette;[998, 1670, 85, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;8;date;[1098, 1666, 76, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;9;dans;[1189, 1666, 83, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;10;un;[1287, 1675, 44, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;11;contexte;[1348, 1670, 152, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;12;évolutif;[1515, 1666, 141, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;13;de;[1666, 1666, 40, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;14;crise;[1721, 1666, 82, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;15;sanitaire;[1820, 1666, 156, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;16;liée;[1991, 1666, 60, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;17;au;[2067, 1675, 39, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;1;18;Covid-;[2123, 1666, 117, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;8;1;2;1;19.;[359, 1713, 44, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;1;Nous;[355, 1808, 92, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;2;certifions;[466, 1808, 169, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;3;que;[654, 1817, 64, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;4;les;[736, 1808, 45, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;5;comptes;[800, 1812, 150, 33];33;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;6;annuels;[970, 1808, 139, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;7;sont,;[1129, 1812, 86, 30];30;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;8;au;[1234, 1817, 39, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;9;regard;[1292, 1808, 116, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;10;des;[1428, 1808, 58, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;11;règles;[1504, 1808, 104, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;12;et;[1628, 1812, 30, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;13;principes;[1676, 1808, 167, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;14;comptables;[1862, 1808, 206, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;1;15;français,;[2087, 1808, 154, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;1;réguliers;[355, 1855, 157, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;2;et;[530, 1859, 31, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;3;sincères;[580, 1855, 143, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;4;et;[742, 1859, 30, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;5;donnent;[790, 1855, 151, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;6;une;[958, 1864, 66, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;7;image;[1041, 1855, 108, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;8;fidèle;[1166, 1855, 98, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;9;du;[1282, 1855, 42, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;10;résultat;[1343, 1855, 138, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;11;des;[1498, 1855, 58, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;12;opérations;[1574, 1855, 191, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;13;de;[1784, 1855, 40, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;14;l’exercice;[1841, 1855, 167, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;15;écoulé;[2025, 1855, 114, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;2;16;ainsi;[2157, 1855, 85, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;1;que;[356, 1911, 63, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;2;de;[433, 1902, 39, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;3;la;[486, 1902, 29, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;4;situation;[530, 1902, 157, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;5;financière;[703, 1902, 180, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;6;et;[897, 1906, 31, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;7;du;[942, 1902, 42, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;8;patrimoine;[999, 1902, 201, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;9;de;[1214, 1902, 40, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;10;la;[1268, 1902, 29, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;11;société;[1312, 1902, 122, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;12;à;[1448, 1902, 17, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;13;la;[1479, 1902, 29, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;14;fin;[1522, 1902, 45, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;15;de;[1582, 1902, 40, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;16;cet;[1636, 1906, 50, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;9;1;3;17;exercice.;[1700, 1902, 155, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;10;1;1;1;Fondement;[355, 2044, 242, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;10;1;1;2;de;[612, 2044, 44, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;10;1;1;3;l’opinion;[674, 2043, 185, 38];38;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;10;1;2;1;Référentiel;[353, 2138, 239, 38];38;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;10;1;2;2;d'audit;[604, 2138, 150, 30];30;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;1;Nous;[355, 2234, 89, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;2;avons;[465, 2243, 99, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;3;effectué;[584, 2234, 136, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;4;notre;[739, 2238, 92, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;5;audit;[851, 2234, 88, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;6;selon;[960, 2234, 87, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;7;les;[1068, 2234, 44, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;8;normes;[1133, 2243, 130, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;9;d'exercice;[1284, 2234, 171, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;10;professionnel;[1474, 2234, 237, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;11;applicables;[1730, 2234, 192, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;12;en;[1943, 2243, 39, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;13;France.;[2003, 2234, 128, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;1;14;Nous;[2151, 2234, 90, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;1;estimons;[355, 2281, 156, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;2;que;[524, 2290, 62, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;3;les;[599, 2281, 43, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;4;éléments;[655, 2281, 156, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;5;que;[824, 2290, 62, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;6;nous;[898, 2290, 82, 20];20;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;7;avons;[994, 2290, 97, 19];19;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;8;collectés;[1105, 2281, 145, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;9;sont;[1264, 2285, 72, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;10;suffisants;[1350, 2281, 164, 29];29;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;11;et;[1527, 2286, 29, 23];23;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;12;appropriés;[1570, 2281, 186, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;13;pour;[1769, 2290, 81, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;14;fonder;[1863, 2281, 113, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;15;notre;[1988, 2285, 92, 24];24;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;11;1;2;16;opinion.;[2092, 2281, 144, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;12;1;1;1;Les;[355, 2376, 57, 28];28;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;12;1;1;2;responsabilités;[444, 2376, 261, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
0;12;1;1;3;qui;[738, 2376, 55, 37];37;text;Page_19;03_ARDIAN - Comptes sociaux 2019
