identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;ARDIAN;[153, 553, 443, 85];85;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;2;1;1;1; ;[144, 667, 2193, 2];2;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;1;ANNEXE;[559, 1268, 478, 85];85;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;2;DES;[1084, 1267, 227, 89];89;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;3;1;1;3;COMPTES;[1352, 1267, 568, 89];89;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;3;1;2;1;ANNUELS;[961, 1402, 557, 89];89;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;4;1;1;1; ;[1068, 1698, 345, 30];30;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;1;EXERCICE;[867, 1867, 499, 76];76;text;Page_7;03_ARDIAN - Comptes sociaux 2019
0;5;1;1;2;2019;[1401, 1868, 216, 76];76;text;Page_7;03_ARDIAN - Comptes sociaux 2019
