identifier;left;right;up;down
2;;;3;
2;;8;;
3;;;;2
3;;;4;
3;;9;;
4;;;;3
4;;;6;
4;;10;;
5;;;;6
5;;7;;
6;;;;4
6;;;5;
8;2;;;
8;;;9;
8;;16;;
9;3;;;
9;;;;8
9;;;10;
9;;17;;
10;4;;;
10;;;;9
10;;;13;
10;;18;;
11;;;12;
11;;;;13
11;;;14;
12;;;;11
12;;14;;
13;;;;10
13;;;11;
14;;;;11
14;12;;;
16;8;;;
16;;;17;
16;;25;;
17;9;;;
17;;;;16
17;;;18;
17;;26;;
18;10;;;
18;;;;17
18;;;22;
18;;;24;
18;;27;;
20;;21;;
21;20;;;
22;;;;18
24;;;;18
25;16;;;
25;;;26;
25;;32;;
26;17;;;
26;;;;25
26;;;27;
26;;33;;
27;18;;;
27;;;;26
27;;34;;
32;25;;;
32;;;33;
33;26;;;
33;;;;32
33;;;34;
34;27;;;
34;;;;33
34;;;37;
37;;;;34
